,book_id,rating_count,rating_mean,ISBN,book_title,book_author,year_of_publication,publisher,image
1583,1587,1,10.0,0440203155,Romantic Obsessions and Humiliations of Annie Sehlmeier,Louise Plummer,1989,Laurel-Leaf Books,http://images.amazon.com/images/P/0440203155.01.THUMBZZZ.jpg
1623,1627,1,10.0,2723409821,"Balade au bout du monde, tome 4 : La pierre de folie",Laurent Vicomte,1993,GlÃ?Â©nat,http://images.amazon.com/images/P/2723409821.01.THUMBZZZ.jpg
1626,1630,1,10.0,2207251756,"Nouvelles : tome 2, 1953-1981",Philip Kindred Dick,2000,DenoÃ?Â«l,http://images.amazon.com/images/P/2207251756.01.THUMBZZZ.jpg
1657,1661,1,10.0,1560980087,Bertha Lum (American Printmakers),Mary Evans O'Keefe Gravalos,1991,Smithsonian Inst Pr,http://images.amazon.com/images/P/1560980087.01.THUMBZZZ.jpg
1659,1663,1,10.0,0803281730,The Rocky Mountain Wonderland,Enos A. Mills,1991,Univ of Nebraska Pr,http://images.amazon.com/images/P/0803281730.01.THUMBZZZ.jpg
1672,1676,1,10.0,0670867144,"The 3,000 Mile Garden: An Exchange of Letters on Gardening, Food, and the Good Life",Leslie Land,1996,Viking Books,http://images.amazon.com/images/P/0670867144.01.THUMBZZZ.jpg
1694,1698,1,10.0,1593160151,"Use What You've Got, and Other Business Lessons I Learned from My Mom",Barbara Corcoran,2003,Listen &amp; Live Audio,http://images.amazon.com/images/P/1593160151.01.THUMBZZZ.jpg
1695,1699,1,10.0,1593160127,Nina: Adolescence,Amy Hassinger,2003,Listen &amp; Live Audio,http://images.amazon.com/images/P/1593160127.01.THUMBZZZ.jpg
1712,1716,1,10.0,0963641328,Totally Useless Office Skills: 75 Great Ways to Play at Work,Rick Davis,1997,Hobblebush Books,http://images.amazon.com/images/P/0963641328.01.THUMBZZZ.jpg
1778,1782,1,10.0,0316089745,The Wooden Nickel: A Novel,William Carpenter,2003,Back Bay Books,http://images.amazon.com/images/P/0316089745.01.THUMBZZZ.jpg
1869,1873,2,10.0,0816614024,A Thousand Plateaus: Capitalism and Schizophrenia,Gilles Deleuze,1987,University of Minnesota Press,http://images.amazon.com/images/P/0816614024.01.THUMBZZZ.jpg
1882,1886,1,10.0,1587991039,Technomanifestos: Visions from the Information Revolutionaries,Adam Brate,2002,Thomson Texere,http://images.amazon.com/images/P/1587991039.01.THUMBZZZ.jpg
1968,1972,1,10.0,1569314195,Pokemon Tales : Where's Clefairy's Voice? (Pokemon Tales),Junko Wada,1999,VIZ LLC,http://images.amazon.com/images/P/1569314195.01.THUMBZZZ.jpg
2010,2014,1,10.0,3492232981,Afrikanisches Fieber. Erfahrungen aus vierzig Jahren.,Ryszard Kapuscinski,2001,Piper,http://images.amazon.com/images/P/3492232981.01.THUMBZZZ.jpg
2257,2261,1,10.0,0070419361,The Individual In A Social World: Essays and Experiments,Stanley  Milgram,1992,McGraw-Hill Humanities/Social Sciences/Languages,http://images.amazon.com/images/P/0070419361.01.THUMBZZZ.jpg
2258,2262,1,10.0,1929194196,Sun Tzu's The Art of War Plus The Original Chinese Revealed,Sun Tzu,2003,Clearbridge Publishing,http://images.amazon.com/images/P/1929194196.01.THUMBZZZ.jpg
2261,2265,1,10.0,0804832463,"One Arrow, One Life: Zen, Archery, Enlightenment",Kenneth Kushner,2000,Tuttle Publishing,http://images.amazon.com/images/P/0804832463.01.THUMBZZZ.jpg
2312,2316,1,10.0,0340697687,Film Studies (Teach Yourself Educational S.),Warren Buckland,1998,Hodder Arnold Teach Yourself,http://images.amazon.com/images/P/0340697687.01.THUMBZZZ.jpg
2313,2317,1,10.0,0130289221,Becoming a Critical Thinker: A User Friendly Manual (3rd Edition),Sherry Diestler,2000,Pearson Education,http://images.amazon.com/images/P/0130289221.01.THUMBZZZ.jpg
2314,2318,1,10.0,0806957050,Sit &amp; Solve - Lateral Thinking Puzzles,Paul Sloane,2002,Sterling Publishing,http://images.amazon.com/images/P/0806957050.01.THUMBZZZ.jpg
2320,2324,1,10.0,1565115228,Pretty Good Joke Book: A Prairie Home Companion (Prairie Home Companion),Garrison Keillor,2001,Highbridge Audio,http://images.amazon.com/images/P/1565115228.01.THUMBZZZ.jpg
2336,2340,1,10.0,1585420611,"Women Can't Hear What Men Don't Say: Destroying Myths, Creating Love",Warren Farrell Ph.D.,2000,Jeremy P. Tarcher,http://images.amazon.com/images/P/1585420611.01.THUMBZZZ.jpg
2468,2472,1,10.0,0553476580,Alchemist,Paulo Coelho,1995,Random House Audio,http://images.amazon.com/images/P/0553476580.01.THUMBZZZ.jpg
2483,2487,1,10.0,1577310454,Maps to Ecstasy: A Healing Journey for the Untamed Spirit,Gabrielle Roth,1998,New World Library,http://images.amazon.com/images/P/1577310454.01.THUMBZZZ.jpg
2485,2489,1,10.0,0694524638,Invitation,Oriah Mountain Dreamer,2000,HarperAudio,http://images.amazon.com/images/P/0694524638.01.THUMBZZZ.jpg
2486,2490,1,10.0,0912365579,Chief Seattle (Northwest Mythic Landscape Series),David Buerge,1992,Pub Group West,http://images.amazon.com/images/P/0912365579.01.THUMBZZZ.jpg
2490,2494,1,10.0,0809237601,The Northern Exposure Cookbook: A Community Cookbook from the Heart of the Alaskan Riviera,Ellis Weiner,1993,McGraw Hill - NTC,http://images.amazon.com/images/P/0809237601.01.THUMBZZZ.jpg
2491,2495,1,10.0,0806514094,Northern Exposure: The Official Publication of the Television Series,Louis Chunovic,1993,Carol Pub Group,http://images.amazon.com/images/P/0806514094.01.THUMBZZZ.jpg
2492,2496,1,10.0,0786860642,Northern Exposures: Photographs,Rob Morrow,1994,Hyperion Books,http://images.amazon.com/images/P/0786860642.01.THUMBZZZ.jpg
2496,2500,1,10.0,0062508482,Every Part of This Earth Is Sacred: Native American Voices in Praise of Nature,Jana Stone,1993,HarperCollins,http://images.amazon.com/images/P/0062508482.01.THUMBZZZ.jpg
2500,2504,1,10.0,0385484100,The Language of Life: A Festival of Poets,Bill D. Moyers,1996,Main Street Books,http://images.amazon.com/images/P/0385484100.01.THUMBZZZ.jpg
2505,2509,1,10.0,1577311868,Developing Intuition: Practical Guidance for Daily Life,Shakti Gawain,2001,New World Library,http://images.amazon.com/images/P/1577311868.01.THUMBZZZ.jpg
2508,2512,1,10.0,0133502813,Chemistry,John McMurry,1994,Prentice Hall,http://images.amazon.com/images/P/0133502813.01.THUMBZZZ.jpg
2529,2533,1,10.0,0965921506,"In-Home Child Care: A Step-By-Step Guide to Quality, Affordable Care","Debra K., Dr. Shatoff",1998,"Family CareWare, Inc.",http://images.amazon.com/images/P/0965921506.01.THUMBZZZ.jpg
2530,2534,1,10.0,0471485527,Essentials of Computational Chemistry : Theories and Models,Christopher J.  Cramer,2002,John Wiley &amp; Sons,http://images.amazon.com/images/P/0471485527.01.THUMBZZZ.jpg
2622,2626,1,10.0,0395629497,Treehouses: The Art and Craft of Living Out on a Limb,Peter Nelson,1994,Mariner Books,http://images.amazon.com/images/P/0395629497.01.THUMBZZZ.jpg
2623,2627,1,10.0,0140259988,Home Tree Home: Principles of Treehouse Construction and Other Tall Tales,Peter Nelson,1997,Penguin Books,http://images.amazon.com/images/P/0140259988.01.THUMBZZZ.jpg
2629,2633,1,10.0,0142003409,The Disappearance of Sherlock Holmes,Larry Millett,2003,Penguin Books,http://images.amazon.com/images/P/0142003409.01.THUMBZZZ.jpg
2676,2680,1,10.0,067166865X,STAR TREK YESTERDAY'S SON (Star Trek: The Original Series),A.C. Crispin,1988,Audioworks,http://images.amazon.com/images/P/067166865X.01.THUMBZZZ.jpg
2807,2811,1,10.0,0941104184,War Against War,Ernst Friedrich,1987,Real Comet Press,http://images.amazon.com/images/P/0941104184.01.THUMBZZZ.jpg
2961,2965,1,10.0,0786404019,Day of the Long Night: A Palestinian Refugee Remembers the Nakba,Jamil I. Toubbeh,1997,McFarland &amp; Company,http://images.amazon.com/images/P/0786404019.01.THUMBZZZ.jpg
3013,3017,3,10.0,0689823517,The Dance,Richard Paul Evans,1999,Simon &amp; Schuster Children's Publishing,http://images.amazon.com/images/P/0689823517.01.THUMBZZZ.jpg
3020,3024,1,10.0,1880089858,"Woman, Thou Art Loosed: Healing the Wounds of the Past",T. D. Jakes,1994,Bethany House Publishers,http://images.amazon.com/images/P/1880089858.01.THUMBZZZ.jpg
3271,3276,1,10.0,0688155022,"The Rise and Fall of the House of Barneys: A Family Tale of Chutzpah, Glory, and Greed",Joshua Levine,1999,William Morrow &amp; Company,http://images.amazon.com/images/P/0688155022.01.THUMBZZZ.jpg
3292,3297,1,10.0,0440228204,The Unprotected Witness (Laurel-Leaf Books),James Stevenson,1999,Laurel-Leaf Books,http://images.amazon.com/images/P/0440228204.01.THUMBZZZ.jpg
3300,3305,2,10.0,0373063121,Found: One Husband (Harlequin Medical Romance),Meredith Webber,2001,Harlequin,http://images.amazon.com/images/P/0373063121.01.THUMBZZZ.jpg
3691,3696,1,10.0,0553802550,The Happiest Baby on the Block : The New Way to Calm Crying and Help Your Baby Sleep Longer,Harvey Karp,2002,Bantam,http://images.amazon.com/images/P/0553802550.01.THUMBZZZ.jpg
3818,3823,1,10.0,0345275675,"The White Dragon (Dragonriders of Pern, V. 3)",Anne McCaffrey,1981,Ultramarine Pub Co,http://images.amazon.com/images/P/0345275675.01.THUMBZZZ.jpg
3915,3920,1,10.0,2842772032,Paysages de Bretagne,Philip Plisson,1999,Editions du ChÃ?Âªne,http://images.amazon.com/images/P/2842772032.01.THUMBZZZ.jpg
4046,4051,1,10.0,067146969X,DAWNFIRE,Lynn Erickson,1984,Pocket,http://images.amazon.com/images/P/067146969X.01.THUMBZZZ.jpg
4117,4122,1,10.0,1929317999,Sailing the Dream,John F. McGrady,1999,Coconut Info,http://images.amazon.com/images/P/1929317999.01.THUMBZZZ.jpg
4211,4216,1,10.0,8401541034,La fuente del unicornio,Theodore Sturgeon,1999,"Plaza &amp; Janes Editores, S.A.",http://images.amazon.com/images/P/8401541034.01.THUMBZZZ.jpg
4212,4217,1,10.0,034541036X,A Gift of Hope: How We Survive Our Tragedies,Robert L. Veninga,1996,Ballantine Books,http://images.amazon.com/images/P/034541036X.01.THUMBZZZ.jpg
4235,4240,2,10.0,039396647X,"War and Peace: The Maude Translation, Backgrounds and Sources, Criticism (Norton Critical Editions)",Leo Tolstoy,1996,W. W. Norton &amp; Company,http://images.amazon.com/images/P/039396647X.01.THUMBZZZ.jpg
4325,4330,1,10.0,0861782356,Little Women,Louisa May Alcott,0,Octopus Publising Group Plc,http://images.amazon.com/images/P/0861782356.01.THUMBZZZ.jpg
4340,4345,1,10.0,9504604730,Don Quijote de La Mancha,Miguel De Cervantes Saavedra,1998,Santillana S.A.,http://images.amazon.com/images/P/9504604730.01.THUMBZZZ.jpg
4345,4350,1,10.0,8493058777,"Palestina, Ocupacio I Resistencia: Manual Practic Sobre La Questio Palestina I El Conflicte Arabo-Israelia",Salah Jamal,2001,Edicions El Jonc,http://images.amazon.com/images/P/8493058777.01.THUMBZZZ.jpg
4346,4351,1,10.0,8488471009,Viva el mal! Viva el capital!,Santiago Alba Rico,1992,Virus,http://images.amazon.com/images/P/8488471009.01.THUMBZZZ.jpg
4348,4353,1,10.0,8428210675,Cultivo de Plantas Medicinales Aromaticas y Condimenticias,Fernandez,1997,Omega,http://images.amazon.com/images/P/8428210675.01.THUMBZZZ.jpg
4453,4458,1,10.0,0613286626,Summer Reading Is Killing Me (Time Warp Trio (Library)),Jon Scieszka,2001,Sagebrush Bound,http://images.amazon.com/images/P/0613286626.01.THUMBZZZ.jpg
4488,4493,1,10.0,0807085464,Lost Woods: The Discovered Writing of Rachel Carson,Rachel Carson,1998,Beacon Press,http://images.amazon.com/images/P/0807085464.01.THUMBZZZ.jpg
4532,4537,1,10.0,0060505559,To the Heart of the Nile : Lady Florence Baker and the Exploration of Central Africa,Pat Shipman,2004,William Morrow,http://images.amazon.com/images/P/0060505559.01.THUMBZZZ.jpg
4582,4587,1,10.0,380062236X,Die externe Rechnungslegung der Kreditinstitute und Finanzdienstleistungsinstitute (Vahlens HandbÃ¼cher der Wirtschafts- und Sozialwissenschaften),Hartmut Bieg,1999,Vahlen,http://images.amazon.com/images/P/380062236X.01.THUMBZZZ.jpg
4600,4605,1,10.0,0785917136,Ravage,Rene Barjavel,1972,French &amp; European Pubns,http://images.amazon.com/images/P/0785917136.01.THUMBZZZ.jpg
4687,4692,1,10.0,0805324305,Information Systems: A Management Perspective,Steven Alter,1996,Addison-Wesley Pub Co,http://images.amazon.com/images/P/0805324305.01.THUMBZZZ.jpg
4753,4758,1,10.0,0231121008,The Vital Illusion,Jean Baudrillard,2001,Columbia University Press,http://images.amazon.com/images/P/0231121008.01.THUMBZZZ.jpg
5092,5097,1,10.0,0405054610,"Little Golden America (Foreign Travelers in America, 1810-1935 Ser.)",Ilya Ilf,1974,Beaufort Books Inc,http://images.amazon.com/images/P/0405054610.01.THUMBZZZ.jpg
5093,5098,1,10.0,0312280769,Education of a Felon,Edward Bunker,2001,St. Martin's Griffin,http://images.amazon.com/images/P/0312280769.01.THUMBZZZ.jpg
5113,5118,1,10.0,0140043136,The Bride and the Bachelors: Five Masters of the Avant-Garde,Calvin Tomkins,1976,Penguin Books,http://images.amazon.com/images/P/0140043136.01.THUMBZZZ.jpg
5115,5120,1,10.0,0738846503,PHOENIX FLOWER,B. P. Chamberlain,2001,Xlibris Corporation,http://images.amazon.com/images/P/0738846503.01.THUMBZZZ.jpg
5128,5133,1,10.0,0373098006,"Pride Of St Charles Avenue (Silhouette Special Edition, No 800)",Carole Halston,1993,Silhouette,http://images.amazon.com/images/P/0373098006.01.THUMBZZZ.jpg
5165,5170,1,10.0,0373169175,"The Unlawfully Wedded Princess (The Carradignes: American Royalty) (Harlequin American Romance Series, No. 917)",Kara Lennox,2002,Harlequin,http://images.amazon.com/images/P/0373169175.01.THUMBZZZ.jpg
5167,5172,1,10.0,0373255500,"One More Time (Harlequin Temptation, No 450)",Rita Clay Estrada,1993,Harlequin,http://images.amazon.com/images/P/0373255500.01.THUMBZZZ.jpg
5169,5174,1,10.0,0373165048,"Twilight Magic (Harlequin American Romance, No 16504)",Saranne Dawson,1993,Harlequin,http://images.amazon.com/images/P/0373165048.01.THUMBZZZ.jpg
5187,5192,2,10.0,0673523241,Family in Transition,Arlene S. Skolnick,1993,Addison Wesley Publishing Company,http://images.amazon.com/images/P/0673523241.01.THUMBZZZ.jpg
5237,5242,1,10.0,1412014050,Natural Affinities,James Ryan,2004,Not Avail,http://images.amazon.com/images/P/1412014050.01.THUMBZZZ.jpg
5245,5250,1,10.0,888645502X,Sarajevo!,Piero Del Giudice,1995,Galleria Gottardo,http://images.amazon.com/images/P/888645502X.01.THUMBZZZ.jpg
5351,5356,1,10.0,0943734312,Discovering Dixie: The Best of the Deep South Along the Magnolia Trail,Richard L. Polese,2002,Ocean Tree Books,http://images.amazon.com/images/P/0943734312.01.THUMBZZZ.jpg
5439,5444,1,10.0,082122154X,London (Art in Focus),Thomas Parsons,1995,Little Brown &amp; Co,http://images.amazon.com/images/P/082122154X.01.THUMBZZZ.jpg
5576,5581,1,10.0,1572241314,The Gay and Lesbian Self-Esteem Book: A Guide to Loving Ourselves,Kimeron N. Hardin,1999,New Harbinger Publications,http://images.amazon.com/images/P/1572241314.01.THUMBZZZ.jpg
5651,5656,1,10.0,2714303412,PrÃ?Â©fÃ?Â©rences,Julien Gracq,1989,Jose Corti,http://images.amazon.com/images/P/2714303412.01.THUMBZZZ.jpg
5709,5714,1,10.0,0671493515,FUND CONTRACT BRDG,Charles H. Goren,1983,Pocket,http://images.amazon.com/images/P/0671493515.01.THUMBZZZ.jpg
5738,5743,2,10.0,0310329914,Be Still and Know,Millie Stamm,1981,Zondervan Publishing Company,http://images.amazon.com/images/P/0310329914.01.THUMBZZZ.jpg
5773,5778,1,10.0,0563487496,The Life Laundry: How to Stay De-Junked Forever,Dawna Walter,2003,BBC,http://images.amazon.com/images/P/0563487496.01.THUMBZZZ.jpg
5776,5781,1,10.0,0751516880,Illustrated Beatles Lyrics,Alan Aldrich,1996,Little Brown and Company,http://images.amazon.com/images/P/0751516880.01.THUMBZZZ.jpg
5806,5811,1,10.0,0671518909,The MIRACLE OF CHANGE,Dennis Wholey,1998,Atria,http://images.amazon.com/images/P/0671518909.01.THUMBZZZ.jpg
5826,5831,1,10.0,1410798860,The Diary of Alice Mary: A Factual Childhood Diary Written During the World War II Years by Joe Connally for His Young Motherless Child With Quotations Throughout This Book,Alice Mary Connally Fisk,2003,1stBooks Library,http://images.amazon.com/images/P/1410798860.01.THUMBZZZ.jpg
6047,6052,1,10.0,0595175686,The Bridge,Michael Darkow,2001,Authors Choice Press,http://images.amazon.com/images/P/0595175686.01.THUMBZZZ.jpg
6048,6053,1,10.0,1594082316,New England Interlude,Maria Elena Morgan,2003,Cork Hill Press,http://images.amazon.com/images/P/1594082316.01.THUMBZZZ.jpg
6149,6154,1,10.0,0761116230,"McGee &amp; Stuckey's Bountiful Container: A Container Garden of Vegetables, Herbs, Fruits, and Edible Flowers",Rose Marie Nichols McGee,2002,Workman Publishing,http://images.amazon.com/images/P/0761116230.01.THUMBZZZ.jpg
6182,6187,1,10.0,0553584782,The Pill Book  10th Edition : New and Revised (Pill Book),HAROLD M. SILVERMAN,2002,Bantam,http://images.amazon.com/images/P/0553584782.01.THUMBZZZ.jpg
6199,6204,1,10.0,0385468490,Free,Todd Komarnicki,1993,Bantam Dell Pub Group,http://images.amazon.com/images/P/0385468490.01.THUMBZZZ.jpg
6235,6240,1,10.0,0751514403,Margin of the Bulls,Jeffrey Robinson,1996,Little Brown and Company,http://images.amazon.com/images/P/0751514403.01.THUMBZZZ.jpg
6955,6960,1,10.0,0913559482,The Autobiography of Maria Callas: A Novel,Alma H. Bond,1998,Birch Brook Press,http://images.amazon.com/images/P/0913559482.01.THUMBZZZ.jpg
7030,7035,1,10.0,1841120685,?What If!: How to Start a Creative Revolution at Work,Dave Allan,2001,Wiley John &amp; Sons,http://images.amazon.com/images/P/1841120685.01.THUMBZZZ.jpg
7042,7047,1,10.0,2253098183,VÃ?Â©ritÃ?Â©,Emile Zola,1996,LGF,http://images.amazon.com/images/P/2253098183.01.THUMBZZZ.jpg
7110,7115,1,10.0,0965603695,The Great Libertarian Offer,Harry Browne,2000,Liamworks,http://images.amazon.com/images/P/0965603695.01.THUMBZZZ.jpg
7118,7123,1,10.0,0613282728,Adivina Cuanto Te Quiero/Guess How Much I Love You,Sam McBratney,2000,Sagebrush Bound,http://images.amazon.com/images/P/0613282728.01.THUMBZZZ.jpg
7298,7303,1,10.0,0312863853,Robert Bloch: Appreciations of the Master,Richard Matheson,1997,St Martins Pr,http://images.amazon.com/images/P/0312863853.01.THUMBZZZ.jpg
7350,7355,2,10.0,0312318898,The Perfumed Sleeve : A Novel,Laura Joh Rowland,2004,St. Martin's Minotaur,http://images.amazon.com/images/P/0312318898.01.THUMBZZZ.jpg
7375,7380,1,10.0,0968288308,Gang Ranch the Real Story,Judy Alsager,1997,Bluedoor Publishing,http://images.amazon.com/images/P/0968288308.01.THUMBZZZ.jpg
7533,7538,2,10.0,0671632949,Astrology and Your Past Lives,Jeanne Avery,1987,Simon &amp; Schuster,http://images.amazon.com/images/P/0671632949.01.THUMBZZZ.jpg
7601,7606,2,10.0,0140446745,The Letters of Vincent Van Gogh (Penguin Classics),Ronald De Leeuw,1998,Penguin Books,http://images.amazon.com/images/P/0140446745.01.THUMBZZZ.jpg
7629,7634,1,10.0,1888054069,Alphonse Mucha: An American Collection (Vignettes),Don Kurtz,1997,Collectors Press,http://images.amazon.com/images/P/1888054069.01.THUMBZZZ.jpg
7649,7654,1,10.0,0847813754,Ralph Eugene Meatyard: An American Visionary,Ralph Eugene Meatyard,1991,Akron Art Museum,http://images.amazon.com/images/P/0847813754.01.THUMBZZZ.jpg
7821,7826,2,10.0,0811827631,Muffy's Scrapbook,Heather Drake,2000,Chronicle Books,http://images.amazon.com/images/P/0811827631.01.THUMBZZZ.jpg
7860,7865,1,10.0,0892811706,Muhammad: His Life Based on the Earliest Sources,Martin Lings,1987,Inner Traditions International,http://images.amazon.com/images/P/0892811706.01.THUMBZZZ.jpg
8051,8056,1,10.0,0786845406,"Lizzie Goes Wild! (Lizzie McGuire Junior Novel, Book 3)",Kirsten Larsen,2002,Disney Press,http://images.amazon.com/images/P/0786845406.01.THUMBZZZ.jpg
8062,8067,1,10.0,0671879510,TROUBLE AT CAMP TREEHOUSE (NANCY DREW NOTEBOOK 7) : TROUBLE AT CAMP TREEHOUSE,Carolyn Keene,1995,Aladdin,http://images.amazon.com/images/P/0671879510.01.THUMBZZZ.jpg
8085,8090,1,10.0,0743406648,Flower Power (Nancy Drew Notebooks No. 41),Carolyn Keene,2001,Aladdin,http://images.amazon.com/images/P/0743406648.01.THUMBZZZ.jpg
8161,8166,1,10.0,8432038598,La vida es sueÃ±o: Drama y auto sacramental (ClÃ¡sicos universales planeta),Pedro CalderÃ³n de la Barca,1981,Planeta,http://images.amazon.com/images/P/8432038598.01.THUMBZZZ.jpg
8237,8242,1,10.0,0971400415,Love Thy Sister,Maria Grazia Swan,2001,Zander eBooks,http://images.amazon.com/images/P/0971400415.01.THUMBZZZ.jpg
8309,8314,1,10.0,1851820442,Navarre Bible: Acts of the Apostles (Navarre Bible: New Testament),Faculty of Theology of the University of,1998,International Specialized Book Services,http://images.amazon.com/images/P/1851820442.01.THUMBZZZ.jpg
8339,8344,3,10.0,1856975770,The Kingfisher First Dictionary,Angela Crawley,1995,Kingfisher,http://images.amazon.com/images/P/1856975770.01.THUMBZZZ.jpg
8461,8466,1,10.0,1594570841,MacFarlane's Ridge,Patricia Deane Wigington,2003,Global Book Publisher,http://images.amazon.com/images/P/1594570841.01.THUMBZZZ.jpg
8585,8590,1,10.0,1583483322,And Not  Make Dreams Your Master,Stephen Goldin,1999,iUniverse.com,http://images.amazon.com/images/P/1583483322.01.THUMBZZZ.jpg
8698,8703,1,10.0,0441371574,Invasion: Earth,Harry Harrison,1986,Ace Books,http://images.amazon.com/images/P/0441371574.01.THUMBZZZ.jpg
8773,8778,1,10.0,3551580561,Fanny und Pepsi. ( Ab 12 J.).,Corinna Belz,2000,Carlsen,http://images.amazon.com/images/P/3551580561.01.THUMBZZZ.jpg
8873,8878,1,10.0,0738704458,Witchy Tarot,Laura Tuan,2003,Llewellyn Espanol,http://images.amazon.com/images/P/0738704458.01.THUMBZZZ.jpg
